Card#,Title,Artist,URL,Hashed Info,Youtube-Title,Year
1 ,"Nachts, wenn alles schläft...",Howard Carpendale,https://www.youtube.com/watch?v=OzUP8DYhGGo,f0a9d9d64985c6dcf19f63a29d773e3a85991e0b5b8c2ba34d28c14588427643,"Nachts, wenn alles schläft (Remastered 2003)",2003 
2 ,Love Shack - Edit,The B-52's,https://www.youtube.com/watch?v=9SOryJvTAGs,691963f9970b395bdd224e49c1a294e8933ffa0d6b2b53cda2fa1f7dccc18ed2,The B-52's - Love Shack (Official Music Video),1989 
3 ,Wake Me Up Before You Go-Go,Wham!,https://www.youtube.com/watch?v=pIgZ7gMze7A,f757f27826c1655e7aab36e42f2c4314ba986ee310d3937b3b06f43357dba285,Wham! - Wake Me Up Before You Go-Go (Official Video),1984 
4 ,Daydream Believer,The Monkees,https://www.youtube.com/watch?v=xvqeSJlgaNk,70b55b84c77b03ce0c013d0e4dee01775654ce49b201eaf500b6d1a1c338e5d2,The Monkees - Daydream Believer (Official Music Video),1968 
5 ,Issues,Julia Michaels,https://www.youtube.com/watch?v=9Ke4480MicU,6e2bdfd97ea581a4a560f8006af47cf278855299c23876083e83f89fbeb5e690,Julia Michaels - Issues,2017 
6 ,Black Saturday,Mando Diao,https://www.youtube.com/watch?v=nWi4SjihYGU,52b6b5bcd68cadda2aecd2001bbe2b3e3ab1c5402c61e28657ed51b619bdc1ec,Mando Diao - Black Saturday (Official Video),2014 
7 ,The Weekend - Radio Edit,Michael Gray,https://www.youtube.com/watch?v=N3kkNfH4yco,94d75555df9e372248afabd8d7851d4d2ee79394133490ce05ec8dcf4134b50c,Michael Gray - The Weekend (Official Video),2007 
8 ,I Will Always Love You,Whitney Houston,https://www.youtube.com/watch?v=3JWTaaS7LdU,7e70346975820a78466921dee30c7a2d7d9cb80ea91ca93768e16ef68cbdbf0c,Whitney Houston - I Will Always Love You (Official 4K Video),1992 
9 ,Tears in Heaven,Eric Clapton,https://www.youtube.com/watch?v=JxPj3GAYYZ0,c9a4cc07a82b5974a3468cf62d08743fe81152a356bd306c05a91ecdc0eeb2cc,Eric Clapton - Tears In Heaven (Official Video),1992 
10 ,Woman In Love,Barbra Streisand,https://www.youtube.com/watch?v=hQLGCX8D-1Y,8d5598ab20d6ba3b187872a2341bbc55d23054187b59af85eacfc90ed150178f,Barbra Streisand - Woman in Love (Audio),2002 
